"quantile","b0sys","ba1sys","ba2sys","ba3sys","ba4sys","b1sys","b2sys","b3sys","b4sys","bb1sys","bb2sys","bb3sys","bb4sys"
0.01,-13.567,-1.1325,-1.7078,28.8607,-81.1719,0.4118,3e-04,-0.0263,0.0507,-0.0087,-0.1202,0.2977,-0.2691
0.02,-43.7777,1.9512,-3.8763,28.8717,-57.6407,0.4741,-0.0029,-0.0496,0.1518,-0.0191,0.1992,-0.2879,0.0508
0.03,-35.5221,1.6542,-3.2001,22.4882,-41.299,0.4425,-0.0025,-0.0428,0.1269,-0.0674,0.3133,-0.465,0.1062
0.04,-25.9772,2.0924,-3.8188,24.4956,-38.8551,0.3556,3e-04,-0.0543,0.1499,-0.0796,0.4423,-0.7299,0.2906
0.05,-16.9931,2.2497,-3.7873,23.1323,-35.1791,0.2916,6e-04,-0.0481,0.1416,-0.0641,0.3962,-0.6572,0.2638
0.06,-19.6683,2.3137,-3.7117,22.8638,-35.7152,0.3203,-0.0015,-0.0388,0.1406,-0.0689,0.4499,-0.7699,0.3469
0.07,-33.2858,2.7679,-4.0941,22.3138,-27.6548,0.3986,-0.0021,-0.0592,0.2053,-0.0938,0.6243,-1.0803,0.5056
0.08,-42.522,3.0229,-4.2155,22.1584,-27.6854,0.4632,-0.0051,-0.0392,0.1567,-0.0631,0.512,-0.8671,0.3759
0.09,-34.2517,2.7721,-3.6109,17.4453,-15.4161,0.4233,-0.0055,-0.0269,0.1286,-0.0371,0.366,-0.6077,0.2427
0.1,-42.4833,3.1554,-3.8233,16.9605,-12.0012,0.466,-0.0072,-0.0191,0.1105,-0.0294,0.3572,-0.5855,0.2225
0.11,-54.4375,3.0764,-3.5785,15.2542,-9.8518,0.569,-0.0112,-0.0014,0.0879,-0.034,0.4004,-0.6627,0.2631
0.12,-38.5925,2.3768,-3.1326,15.4931,-14.1216,0.5015,-0.0094,0.0059,0.0528,-0.0475,0.355,-0.5818,0.2245
0.13,-40.8119,2.5241,-3.3547,16.1453,-12.993,0.5119,-0.0092,0.0039,0.0554,-0.0504,0.3968,-0.6637,0.2771
